entity_id,ticker,historical_ticker,cik,company_name,sector,industry,selection_date,market_cap_at_selection,entry_date,exit_date,delisting_date,mapping_source,mapping_available_time_utc
CIK0000804328,QCOM,QCOM,0000804328,QUALCOMM Incorporated,Information Technology,Semiconductors,2016-01-01,50,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000097476,TXN,TXN,0000097476,Texas Instruments Incorporated,Information Technology,Semiconductors,2016-01-01,49,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000896878,INTU,INTU,0000896878,Intuit Inc.,Information Technology,Software,2016-01-01,48,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000732712,VZ,VZ,0000732712,Verizon Communications Inc.,Communication Services,Telecom Services,2016-01-01,47,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001166691,CMCSA,CMCSA,0001166691,Comcast Corporation,Communication Services,Media,2016-01-01,46,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001413329,PM,PM,0001413329,Philip Morris International Inc.,Consumer Staples,Tobacco,2016-01-01,45,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000100885,UNP,UNP,0000100885,Union Pacific Corporation,Industrials,Ground Transportation,2016-01-01,44,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000101829,RTX,RTX,0000101829,RTX Corporation,Industrials,Aerospace & Defense,2016-01-01,43,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000060667,LOW,LOW,0000060667,"Lowe's Companies, Inc.",Consumer Discretionary,Specialty Retail,2016-01-01,42,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001035267,ISRG,ISRG,0001035267,"Intuitive Surgical, Inc.",Health Care,Health Care Equipment,2016-01-01,41,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000064040,SPGI,SPGI,0000064040,S&P Global Inc.,Financials,Capital Markets,2016-01-01,40,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001075531,BKNG,BKNG,0001075531,Booking Holdings Inc.,Consumer Discretionary,Hotels Restaurants & Leisure,2016-01-01,39,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000078003,PFE,PFE,0000078003,Pfizer Inc.,Health Care,Pharmaceuticals,2016-01-01,38,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000773840,HON,HON,0000773840,Honeywell International Inc.,Industrials,Industrial Conglomerates,2016-01-01,37,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001090727,UPS,UPS,0001090727,"United Parcel Service, Inc.",Industrials,Air Freight & Logistics,2016-01-01,36,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000320187,NKE,NKE,0000320187,"NIKE, Inc.",Consumer Discretionary,Textiles Apparel & Luxury Goods,2016-01-01,35,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001163165,COP,COP,0001163165,ConocoPhillips,Energy,Oil Gas & Consumable Fuels,2016-01-01,34,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000316709,SCHW,SCHW,0000316709,The Charles Schwab Corporation,Financials,Capital Markets,2016-01-01,33,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000732717,T,T,0000732717,AT&T Inc.,Communication Services,Telecom Services,2016-01-01,32,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000315189,DE,DE,0000315189,Deere & Company,Industrials,Machinery,2016-01-01,31,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000012927,BA,BA,0000012927,The Boeing Company,Industrials,Aerospace & Defense,2016-01-01,30,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000829224,SBUX,SBUX,0000829224,Starbucks Corporation,Consumer Discretionary,Restaurants,2016-01-01,29,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001103982,MDLZ,MDLZ,0001103982,"Mondelez International, Inc.",Consumer Staples,Food Products,2016-01-01,28,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000882095,GILD,GILD,0000882095,"Gilead Sciences, Inc.",Health Care,Biotechnology,2016-01-01,27,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000008670,ADP,ADP,0000008670,"Automatic Data Processing, Inc.",Industrials,Professional Services,2016-01-01,26,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
EXCLUDED_MMC,MMC,MMC,0000000000,"Marsh & McLennan Companies, Inc.",Financials,Insurance,2016-01-01,25,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0002012383,BLK,BLK,0002012383,"BlackRock, Inc.",Financials,Capital Markets,2016-01-01,24,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000831001,C,C,0000831001,Citigroup Inc.,Financials,Banks,2016-01-01,23,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000936468,LMT,LMT,0000936468,Lockheed Martin Corporation,Industrials,Aerospace & Defense,2016-01-01,22,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000006951,AMAT,AMAT,0000006951,"Applied Materials, Inc.",Information Technology,Semiconductor Equipment,2016-01-01,21,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000310764,SYK,SYK,0000310764,Stryker Corporation,Health Care,Health Care Equipment,2016-01-01,20,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000109198,TJX,TJX,0000109198,"The TJX Companies, Inc.",Consumer Discretionary,Specialty Retail,2016-01-01,19,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001045609,PLD,PLD,0001045609,"Prologis, Inc.",Real Estate,Industrial REITs,2016-01-01,18,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001326160,DUK,DUK,0001326160,Duke Energy Corporation,Utilities,Electric Utilities,2016-01-01,17,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000092122,SO,SO,0000092122,The Southern Company,Utilities,Electric Utilities,2016-01-01,16,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000064803,CVS,CVS,0000064803,CVS Health Corporation,Health Care,Health Care Services,2016-01-01,15,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001156039,ELV,ELV,0001156039,"Elevance Health, Inc.",Health Care,Managed Health Care,2016-01-01,14,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001739940,CI,CI,0001739940,The Cigna Group,Health Care,Managed Health Care,2016-01-01,13,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000764180,MO,MO,0000764180,"Altria Group, Inc.",Consumer Staples,Tobacco,2016-01-01,12,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000036104,USB,USB,0000036104,U.S. Bancorp,Financials,Banks,2016-01-01,11,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000006281,ADI,ADI,0000006281,"Analog Devices, Inc.",Information Technology,Semiconductors,2016-01-01,10,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000872589,REGN,REGN,0000872589,"Regeneron Pharmaceuticals, Inc.",Health Care,Biotechnology,2016-01-01,9,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000875320,VRTX,VRTX,0000875320,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology,2016-01-01,8,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001327567,PANW,PANW,0001327567,"Palo Alto Networks, Inc.",Information Technology,Software,2016-01-01,7,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000723125,MU,MU,0000723125,"Micron Technology, Inc.",Information Technology,Semiconductors,2016-01-01,6,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000707549,LRCX,LRCX,0000707549,Lam Research Corporation,Information Technology,Semiconductor Equipment,2016-01-01,5,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000319201,KLAC,KLAC,0000319201,KLA Corporation,Information Technology,Semiconductor Equipment,2016-01-01,4,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001555280,ZTS,ZTS,0001555280,Zoetis Inc.,Health Care,Pharmaceuticals,2016-01-01,3,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000885725,BSX,BSX,0000885725,Boston Scientific Corporation,Health Care,Health Care Equipment,2016-01-01,2,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000002969,APD,APD,0000002969,"Air Products and Chemicals, Inc.",Materials,Chemicals,2016-01-01,1,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
